Frequency (Hz),MTF_10HU,MTF_30HU,MTF_50HU
1.0465686274509804,0.00512727511725044,0.012095222129919729,0.01530477817851121
1.0477941176470589,0.005078532915002593,0.011994162827702114,0.015178867638699516
1.0490196078431373,0.005030172656789422,0.011893758793531875,0.015053696707604732
1.0502450980392157,0.004982190946909658,0.011794005202702816,0.014929259951748455
1.0514705882352942,0.00493458441395548,0.011694897262657128,0.0148055519679023
1.0526960784313726,0.004887349710660299,0.011596430212992502,0.014682567383070881
1.053921568627451,0.004840483513747857,0.011498599325475294,0.014560300854480939
1.0551470588235294,0.004793982523782909,0.011401399904059485,0.01443874706957512
1.0563725490196079,0.004747843465025781,0.011304827284913527,0.014317900746010997
1.0575980392156863,0.004702063085287809,0.011208876836453378,0.014197756631666936
1.0588235294117647,0.004656638155790019,0.011113543959383675,0.014078309504652987
1.0600490196078431,0.004611565471023827,0.011018824086744754,0.013959554173328396
1.0612745098039216,0.004566841848614431,0.010924712683969615,0.01384148547632557
1.0625,0.004522464129186884,0.010831205248947286,0.0137240982825808
1.0637254901960784,0.00447842917623424,0.010738297312095227,0.013607387491372124
1.0649509803921569,0.004434733875988608,0.010645984436440365,0.013491348032364552
1.0661764705882353,0.004391375137295576,0.010554262217708919,0.013375974865662374
1.0674019607843137,0.00434834989149047,0.01046312628442598,0.01326126298186999
1.0686274509803921,0.004305655092277224,0.01037257229802388,0.013147207402161082
1.0698529411764706,0.004263287715612696,0.010282595952961915,0.013033803178356073
1.071078431372549,0.004221244759589918,0.010193192976855206,0.012921045393008413
1.0723039215686274,0.004179523244328019,0.010104359130614441,0.012808929159500779
1.0735294117647058,0.0041381202118638384,0.010016090208598503,0.012697449622150995
1.0747549019607843,0.004097032726046545,0.009928382038776202,0.012586601956327272
1.0759803921568627,0.004056257872436472,0.009841230482902058,0.01247638136857537
1.0772058823529411,0.004015792758206702,0.009754631436704124,0.012366783096755714
1.0784313725490196,0.003975634512048908,0.009668580830083838,0.012257802410193244
1.079656862745098,0.003935780284082321,0.009583074627331383,0.012149434609837714
1.0808823529411764,0.0038962272457668872,0.009498108827353111,0.01204167502843846
1.0821078431372548,0.0038569725898204505,0.009413679463915083,0.011934519030731202
1.0833333333333333,0.0038180135301392323,0.009329782605901237,0.011827962013638648
1.0845588235294117,0.003779347301724131,0.009246414357587388,0.011721999406485979
1.0857843137254901,0.0037409711606099334,0.00916357085893171,0.011616626671230932
1.0870098039215685,0.0037028823837993506,0.009081248285882589,0.011511839302710046
1.088235294117647,0.003665078269202757,0.008999442850704384,0.011407632828900793
1.0894607843137254,0.0036275561355814476,0.008918150802321018,0.011304002811201301
1.0906862745098038,0.003590313322497354,0.008837368426680094,0.011200944844727867
1.0919117647058822,0.003553347190266444,0.008757092047136029,0.01109845455863166
1.0931372549019607,0.003516655119919812,0.008677318024854695,0.010996527616434514
1.0943627450980393,0.0034802345131677522,0.008598042759240252,0.010895159716385825
1.0955882352941178,0.0034440827923725753,0.008519262688383883,0.010794346591841112
1.0968137254901962,0.003408197400525526,0.00844097428953685,0.01069408401166282
1.0980392156862746,0.0033725758012313574,0.008363174079608052,0.010594367780645245
1.099264705882353,0.0033372154786990714,0.008285858615687631,0.010495193739964067
1.1004901960784315,0.00330211393774049,0.008209024495597215,0.010396557767652257
1.1017156862745099,0.0032672687037746816,0.008132668358467788,0.01029845577910303
1.1029411764705883,0.0032326773228420437,0.008056786885347623,0.01020088372760176
1.1041666666666667,0.0031983373616248944,0.007981376799840286,0.01010383760488792
1.1053921568627452,0.003164246407477346,0.007906434868774197,0.010007313441748697
