manufacturer,model,kernel,eta_peak,f_peak,f_50,f_10,f_2
SIEMENS,SOMATOM Force,Bf40d,1.0,0.0,0.362996679396985,0.6955887919597992,0.811585350753769
SIEMENS,SOMATOM Force,Br32d,1.0,0.0,0.23625072468619251,0.44264756485355655,0.5514993004184102
SIEMENS,SOMATOM Force,Br40d,1.0,0.0,0.34360860301507545,0.6058539738693469,0.7604754010050253
SIEMENS,SOMATOM Force,Br40d_1,1.0,0.0,0.3365652241860465,0.6025582734883721,0.755917038139535
SIEMENS,SOMATOM Force,Br44d,1.0,0.0,0.4141683924528303,0.7094152855345913,0.8750802918238997
SIEMENS,SOMATOM Force,Br49d,1.0261934465836164,0.19296482412060306,0.5458331658291458,0.7448184924623118,0.8491995979899498
SIEMENS,SOMATOM Force,Br59d,1.32937217816197,0.3864163823899372,0.8155986113207548,1.0234500025157234,1.1370624805031448
SIEMENS,SOMATOM Force,Br69d,1.5332827350142297,0.5907692307692308,1.2156240559440559,1.544564363636364,2.33838634965035
SIEMENS,SOMATOM Force,Qr40d,1.0,0.0,0.3666918271356785,0.6420835055276382,0.782183686432161
SIEMENS,SOMATOM Force,Qr49d,1.0,0.0,0.533269896855346,0.9201931270440254,1.1224592100628934
SIEMENS,SOMATOM Force,Qr54d,1.0,0.0,0.645026013986014,1.1174561118881117,1.3291502097902097
SIEMENS,NAEOTOM Alpha,Br36u,1.0,0.0,0.288485437593985,0.5169486917293233,0.6461128180451128
SIEMENS,NAEOTOM Alpha,Br40u,1.0,0.0,0.34285470476190477,0.606100723809524,0.7607734857142857
SIEMENS,NAEOTOM Alpha,Br40u_1,1.0,0.0,0.33766643809523816,0.6051352380952383,0.7580233142857143
SIEMENS,NAEOTOM Alpha,Br40u_3,1.0,0.0,0.33124937142857147,0.6037016380952382,0.7549805714285716
SIEMENS,NAEOTOM Alpha,Br40u_4,1.0,0.0,0.329854780952381,0.6037211428571431,0.7542979047619048
SIEMENS,NAEOTOM Alpha,Br44u,1.0,0.0,0.3980251084639499,0.7052464551724139,0.8707436338557997
SIEMENS,NAEOTOM Alpha,Br48u,1.0323098311125012,0.17655766269592482,0.5195732664576803,0.713483235109718,0.8131681905956114
SIEMENS,NAEOTOM Alpha,Br56u,1.1216853843868333,0.321339769037657,0.702168368200837,0.9153679531380755,1.016345707112971
SIEMENS,NAEOTOM Alpha,Br68u,1.36278219386936,0.5355669958158997,1.1217727196652723,1.4063033305439334,1.5430506041841006
SIEMENS,NAEOTOM Alpha,Br72u,1.2969852327387283,0.6118332377358491,1.2717207345911952,1.5713920805031452,1.7131890314465414
SIEMENS,NAEOTOM Alpha,Bv40u,1.0,0.0,0.3819196631578948,0.6496363789473685,0.7943329684210527
SIEMENS,NAEOTOM Alpha,Qr40u,1.0,0.0,0.38180109473684215,0.6489465263157896,0.788835705263158
SIEMENS,NAEOTOM Alpha,Qr48u,1.0,0.0,0.503023468338558,0.8756471172413794,1.0778251636363638
SIEMENS,NAEOTOM Alpha,Qr56u_3,1.0,0.0,0.6601993640167364,1.0866173857740586,1.251925047698745
SIEMENS,NAEOTOM Alpha,Br36f,1.0,0.0,0.27173341353383457,0.5136992240601503,0.6407029413533835
SIEMENS,NAEOTOM Alpha,Br40f,1.0,0.0,0.3206290285714286,0.5993910857142859,0.7534396952380954
SIEMENS,NAEOTOM Alpha,Br40f_1,1.0,0.0,0.322277180952381,0.600444342857143,0.753839542857143
SIEMENS,NAEOTOM Alpha,Br40f_3,1.0,0.0,0.3193709714285715,0.5998982095238097,0.7525424761904763
SIEMENS,NAEOTOM Alpha,Br40f_4,1.0,0.0,0.31729371428571435,0.5994398476190478,0.751742780952381
SIEMENS,NAEOTOM Alpha,Br44f,1.0,0.0,0.3896945956112853,0.7060900514106585,0.8707084840125393
SIEMENS,NAEOTOM Alpha,Br48f,1.0223921576570525,0.17654594608150473,0.519690432601881,0.7159671573667712,0.8150311322884014
SIEMENS,NAEOTOM Alpha,Br56f,1.1040228971975805,0.304950410031348,0.7037396664576803,0.9153237467084643,1.0233676238244516
SIEMENS,NAEOTOM Alpha,Br68f,1.436780699432839,0.5569773790794981,1.1569711129707114,1.430145178242678,1.5621190694560672
SIEMENS,NAEOTOM Alpha,Br72f,1.4900223992505504,0.6426778242677825,1.3482609539748953,1.5909618075313812,1.7994979079497913
SIEMENS,NAEOTOM Alpha,Br76f,1.2582460077870357,0.7283609171548118,1.5634095665271968,2.025591966527197,2.3768256803347283
SIEMENS,NAEOTOM Alpha,Bv40f,1.0,0.0,0.36755821943573674,0.6473347611285267,0.7928417905956114
SIEMENS,NAEOTOM Alpha,Qr40f,1.0,0.0,0.366891495924765,0.6460873429467087,0.7875080025078371
SIEMENS,NAEOTOM Alpha,Qr48f,1.0,0.0,0.4996272551724139,0.8806085416927901,1.0838792827586208
SIEMENS,NAEOTOM Alpha,Qr56f_3,1.0,0.0,0.6581644438871475,1.0906577454545456,1.2442644865203762
SIEMENS,NAEOTOM Alpha,Qr76f,1.0,0.0,1.4400805031446544,1.845872704402516,2.0276761761006292
SIEMENS,SOMATOM Force,Ub44u,1.0,0.0,0.36511517587939707,0.6841323417085429,0.863340574874372
SIEMENS,SOMATOM Force,Ur73u,1.0,0.0,1.3338703892617452,1.7059721879194634,2.0974395704697986
SIEMENS,SOMATOM Force,Ur77u,1.0000628633820747,0.10742037482517483,1.539080055944056,2.1139401398601403,2.4131652923076925
SIEMENS,SOMATOM Force,Ur89u,1.4044856017181366,1.288050314465409,2.7435471698113214,3.336372327044026,6.601257861635221
SIEMENS,NAEOTOM Alpha,Hc40u,1.0,0.0,0.3178550570532916,0.60797656677116,0.8171126771159875
SIEMENS,NAEOTOM Alpha,Hr36u,1.0,0.0,0.26190532330827065,0.516249215037594,0.686771007518797
SIEMENS,NAEOTOM Alpha,Hr40u,1.0,0.0,0.31725285517241386,0.6061161931034483,0.8160373166144201
SIEMENS,NAEOTOM Alpha,Hr40u_1,1.0,0.0,0.3141988313479625,0.6053634407523512,0.8136177554858935
SIEMENS,NAEOTOM Alpha,Hr40u_3,1.0,0.0,0.31249976175548594,0.6054172087774297,0.8114455272727273
SIEMENS,NAEOTOM Alpha,Hr40u_4,1.0,0.0,0.3102415047021944,0.6047934996865205,0.8099400225705331
SIEMENS,NAEOTOM Alpha,Hr44u,1.0,0.0,0.3661324840125393,0.6843322984326021,0.8687635260188089
SIEMENS,NAEOTOM Alpha,Hr48u,1.0566096891782033,0.19260348589341691,0.5144630570532917,0.758647252664577,0.936225384326019
SIEMENS,NAEOTOM Alpha,Hr60u,1.3239954942238765,0.40124460940438883,0.8577890708463951,1.0802177605015675,1.2035734871473356
SIEMENS,NAEOTOM Alpha,Hr68u,1.3073038146764628,0.557001158158996,1.144154189121339,1.422369419246862,1.5617148251046027
SIEMENS,NAEOTOM Alpha,Hc40f,1.0,0.0,0.27187687619047624,0.5849088,0.7905572571428572
SIEMENS,NAEOTOM Alpha,Hr36f,1.0,0.0,0.23655593383458648,0.5036851969924814,0.6678054496240602
SIEMENS,NAEOTOM Alpha,Hr40f,1.0,0.0,0.2928099109717869,0.5943194884012539,0.7953903949843262
SIEMENS,NAEOTOM Alpha,Hr40f_1,1.0,0.0,0.29112159498432605,0.5930505630094044,0.7952398445141068
SIEMENS,NAEOTOM Alpha,Hr40f_3,1.0,0.0,0.2896591047021944,0.5920182169278998,0.7951968300940441
SIEMENS,NAEOTOM Alpha,Hr40f_4,1.0,0.0,0.2887665554858935,0.5911794357366772,0.7952828589341694
SIEMENS,NAEOTOM Alpha,Hr44f,1.0,0.0,0.3374619285266458,0.6710456576802509,0.8519267510971787
SIEMENS,NAEOTOM Alpha,Hr48f,1.0,0.0,0.4747332552301256,0.7410439497907951,0.8818208133891215
SIEMENS,NAEOTOM Alpha,Hr60f,1.101478290134549,0.41729653166144204,0.8113079774294671,1.0625089805642636,1.1985494670846397
SIEMENS,NAEOTOM Alpha,Hr68f,1.0385962936704505,0.5617580539184954,1.070116273354232,1.3927944025078374,1.5355358294670847
SIEMENS,NAEOTOM Alpha,Hr76f,1.2720287540825046,0.676223838993711,1.5690851823899374,2.0136457660377363,2.438757433962264
SIEMENS,SOMATOM Force,Hc40s,1.0,0.0,0.2825353104602511,0.5842275615062763,0.7950327430962344
SIEMENS,SOMATOM Force,Hf40s,1.0,0.0,0.2807377405857741,0.6166818276150628,0.8247306711297072
SIEMENS,SOMATOM Force,Hr32s,1.0,0.0,0.22121358793969853,0.43984543517587943,0.5954953648241207
SIEMENS,SOMATOM Force,Hr40s,1.0,0.0,0.28169768702928877,0.5828380920502093,0.7929436117154813
SIEMENS,SOMATOM Force,Hr40s_1,1.0,0.0,0.34217860502512576,0.6703443618090453,0.8898750391959801
SIEMENS,SOMATOM Force,Hr40s_5,1.0,0.0,0.3473505768844222,0.6724273527638193,0.8905614793969852
SIEMENS,SOMATOM Force,Hr44s,1.0,0.0,0.34413964221105536,0.6620206311557791,0.8543463557788947
SIEMENS,SOMATOM Force,Hr49s,1.0323102715275763,0.2381328669767442,0.5436368372093024,0.7346523683720931,0.8412064744186047
SIEMENS,SOMATOM Force,Hr59h,1.1441789828149973,0.3864163823899372,0.8111947672955977,1.01368786918239,1.108211441509434
SIEMENS,SOMATOM Force,Hr69h,1.1985048428335154,0.6086792055944056,1.1727660755244755,1.5155712000000001,1.7296391160839162
SIEMENS,NAEOTOM Alpha,Br76u,1.2389869963169762,0.7406160503144655,1.5876946113207548,2.0638121056603778,2.292544080503145
SIEMENS,NAEOTOM Alpha,Br80u,1.1410641369671046,0.8050233962264152,1.828878490566038,2.4125353056603775,2.7131565886792455
SIEMENS,NAEOTOM Alpha,Br84u,1.129389399393106,0.8694243018867926,2.1075040603773587,2.744030188679246,2.9987472905660386
SIEMENS,NAEOTOM Alpha,Br92u,1.0352992422292946,0.9369770666666666,2.6940717176470588,3.3287981176470582,4.14794591372549
SIEMENS,NAEOTOM Alpha,Br98u_3,1.0202253953919194,0.9660061786163524,2.9762695245283024,4.018835481761007,4.472795290566038
SIEMENS,NAEOTOM Alpha,Hr76u,1.2391750601404847,0.7406160503144655,1.5876276327044028,2.0636446591194972,2.292276166037736
SIEMENS,NAEOTOM Alpha,Hr84u,1.1370996449316118,0.8694243018867926,2.1117256452830193,2.745318883018869,2.999102792452831
SIEMENS,NAEOTOM Alpha,Hr92u,1.1583635370795118,0.9879611275167786,2.8404905234899327,3.3383168859060404,3.908149691275168
SIEMENS,NAEOTOM Alpha,Hr98u,1.051673186025158,1.1457571804195805,3.3847510825174827,4.2507886993007,5.553557303496504
SIEMENS,NAEOTOM Alpha,Qr76u,1.0029780264870773,0.34362072483221473,1.5493223087248322,2.1517152214765103,2.446624644295302
SIEMENS,NAEOTOM Alpha,Qr80u,1.003782494884455,0.34363876510067115,1.7824721610738257,2.495307597315436,2.844114469798658
SIEMENS,NAEOTOM Alpha,Qr84u,1.0038315144944723,0.3436164295302014,2.032377127516779,2.8060263087248325,3.1933517315436246
SIEMENS,NAEOTOM Alpha,Qr89u,1.0,0.0,2.2414439832167834,3.3317896951048955,3.8382056727272733
TOSHIBA,Aquilion Prime SP,FC11,1.0,0.0,0.2989155501617499,0.4644758302451388,0.9621124824215601
TOSHIBA,Aquilion Prime SP,FC13,1.0,0.0,0.22709095783163472,0.7249486399326935,1.1681284586022609
TOSHIBA,Aquilion Prime SP,FC17,14.263465251230945,0.25332537324775944,0.754412372213364,1.5755579219426727,2.849878656194266
TOSHIBA,Aquilion Prime SP,FC18,1.1101113449821123,0.189996689894798,0.4900404426575484,0.6788473709007019,0.7485603357960714
TOSHIBA,Aquilion Prime SP,FC18,1.5224038004613045,0.2153350791293266,0.48124091836271216,0.6685282500408939,1.0814697817082102
TOSHIBA,Aquilion Prime SP,FC18,1.521300826620925,0.2153350791293266,0.48087574399438554,0.668422231675896,0.9815180231517369
TOSHIBA,Aquilion Prime SP,FC18,1.5168416473280972,0.2153350791293266,0.4803692118060617,0.6682926536742316,0.9817536195183991
TOSHIBA,Aquilion Prime SP,FC18,1.498411583099042,0.2153350791293266,0.4789085143327555,0.6670793323859209,0.9787262062067889
TOSHIBA,Aquilion Prime SP,FC19,1.2951978047852108,0.2153312791879288,0.5041982643173926,0.902020209157087,1.18755274571
TOSHIBA,Aquilion Prime SP,FC30,1.3825629699378776,0.3926639043863496,0.836495919664489,1.113339510217241,1.2944371173525813
TOSHIBA,Aquilion Prime SP,FC35,2.4583898418477395,0.37998755321278616,0.6595873679260604,0.7746146339899416,1.3325507829017285
TOSHIBA,Aquilion Prime SP,FC56,3.740543314444413,0.36732969508735863,0.7773109457410922,1.0971231336375071,2.159911516781244
TOSHIBA,Aquilion Prime SP,FC81,2.2757160139443955,0.4813314836326925,1.0366564394806392,1.2547730757131397,1.5025535744732608
TOSHIBA,Aquilion Prime SP,FC86,1.4560563352066735,0.3293345877098219,0.8592896148096384,1.1486888450642176,1.3370984261018768
