Frequency (Hz),LSF_10HU,LSF_30HU,LSF_50HU
-3.5859375,7.3550592826138376e-06,1.692742213576658e-06,2.859052934144569e-06
-3.1875,7.991037323528334e-05,2.1648848847430575e-05,3.876051076707922e-05
-2.7890625,0.00047913005210239534,0.00015283737887278123,0.00029002505471108615
-2.390625,0.0022240276896210755,0.0008358975473517824,0.0016801393829567225
-1.9921875,0.008863968182413934,0.003931638585068259,0.00835192688155189
-1.59375,0.03158228132291913,0.016590492082274373,0.036951157471606384
-1.1953125,0.10136682143018631,0.06348779802107302,0.144229188113482
-0.796875,0.2848493912468763,0.21441826361958793,0.456389277239529
-0.3984375,0.6428094457231575,0.5768561488331272,0.9472200459014661
0.0,1.0,1.0,1.0
0.3984375,0.931878928072248,0.9052021264972943,0.5235216704045639
0.796875,0.5214241228297293,0.4349420833325377,0.17205524632252617
1.1953125,0.20120467473275533,0.13798660402449003,0.044683873257150966
1.59375,0.06157781908749975,0.03491383329020612,0.010141718742731906
1.9921875,0.015961225059447602,0.007577676928397445,0.0020426636547915956
2.390625,0.0034796123303885863,0.0013943383188427642,0.00035272725979079787
2.7890625,0.0005828239479794332,0.00019788578475377612,4.714511273754851e-05
3.1875,5.372629414930368e-05,1.5481991535232192e-05,3.4776184063721223e-06
3.5859375,0.0,0.0,0.0
